text,category
"large pothole on main road causing accidents","Roads / Potholes"
"road full of potholes near school","Roads / Potholes"
"broken road surface damaged my vehicle","Roads / Potholes"
"road has deep cracks and potholes","Roads / Potholes"
"highway road is badly damaged with holes","Roads / Potholes"
"pothole on bridge causing traffic problems","Roads / Potholes"
"road divider broken and dangerous","Roads / Potholes"
"footpath completely broken and dangerous for walking","Roads / Potholes"
"speed breaker damaged and causing accidents","Roads / Potholes"
"road construction debris blocking the path","Roads / Potholes"
"massive crater on the road near hospital entrance","Roads / Potholes"
"road surface has collapsed near the flyover","Roads / Potholes"
"multiple potholes on the colony road damaging tyres","Roads / Potholes"
"road near school has dangerous potholes for children","Roads / Potholes"
"sidewalk broken and uneven causing people to trip and fall","Roads / Potholes"
"newly built road already has cracks and holes","Roads / Potholes"
"road not repaired despite complaints for six months","Roads / Potholes"
"bitumen peeling off road surface exposing sharp stones","Roads / Potholes"
"road median broken and causing wrong side driving","Roads / Potholes"
"drainage work left incomplete blocking half the road","Roads / Potholes"
"road near bus stop has large hole filled with water","Roads / Potholes"
"deep pothole at traffic junction causing vehicle damage","Roads / Potholes"
"road has sunk creating dangerous depression","Roads / Potholes"
"broken road causing two wheeler accidents daily","Roads / Potholes"
"road markings faded completely making it dangerous at night","Roads / Potholes"
"concrete road has large chunks missing","Roads / Potholes"
"road near market completely dug up and not restored","Roads / Potholes"
"pothole filled with rainwater hiding its depth dangerous","Roads / Potholes"
"road shoulder broken causing vehicles to veer off","Roads / Potholes"
"speed bump missing on school road causing speeding","Roads / Potholes"
"garbage not collected for many days","Garbage / Sanitation"
"overflowing dustbin near market area","Garbage / Sanitation"
"garbage dumped illegally on roadside","Garbage / Sanitation"
"waste management failure in residential area","Garbage / Sanitation"
"trash bins not emptied for a week","Garbage / Sanitation"
"dirty streets due to garbage pile up","Garbage / Sanitation"
"sewage overflow on the street","Garbage / Sanitation"
"open drainage causing bad smell","Garbage / Sanitation"
"plastic waste dumped near water body","Garbage / Sanitation"
"no sanitation workers coming to collect waste","Garbage / Sanitation"
"garbage truck has not come to our area in ten days","Garbage / Sanitation"
"open garbage burning causing air pollution in colony","Garbage / Sanitation"
"dead animal carcass lying on road not removed","Garbage / Sanitation"
"construction waste dumped on public footpath illegally","Garbage / Sanitation"
"sewage drain blocked causing overflow onto road","Garbage / Sanitation"
"stinking garbage heap near playground affecting children","Garbage / Sanitation"
"public dustbin overflowing and spilling onto footpath","Garbage / Sanitation"
"hospital waste dumped near residential buildings","Garbage / Sanitation"
"garbage collectors demanding bribe to collect waste","Garbage / Sanitation"
"drain blocked with garbage causing flooding in rains","Garbage / Sanitation"
"waste dumped in open plot attracting mosquitoes and rats","Garbage / Sanitation"
"street sweeping not done for two weeks","Garbage / Sanitation"
"manhole overflowing with sewage on main road","Garbage / Sanitation"
"bio medical waste found dumped on roadside","Garbage / Sanitation"
"garbage piled at corner causing foul smell and disease","Garbage / Sanitation"
"drainage pipes choked causing water to overflow on street","Garbage / Sanitation"
"littering at public park not being cleaned","Garbage / Sanitation"
"public toilet waste overflowing outside onto footpath","Garbage / Sanitation"
"dry waste and wet waste not being segregated by collectors","Garbage / Sanitation"
"garbage collection timing irregular no schedule followed","Garbage / Sanitation"
"no water supply since three days","Water Supply"
"water pipe broken flooding the street","Water Supply"
